identity,name,parentId,type,class,parentRelation,context
SPRING:32,@Resource,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:33,@PostConstruct,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:34,@PreDestroy,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:35,@Configuration,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:36,@Value,SPRING:11,concept,concept,subconcept of,Annotations
SPRING:37,Value Object,SPRING:12,concept,concept,subconcept of,Domain Model
SPRING:38,Entity,SPRING:12,concept,concept,subconcept of,Domain Model
SPRING:39,Template Engine,SPRING:13,concept,concept,subconcept of,View
SPRING:40,JSP,SPRING:13,concept,concept,subconcept of,View
SPRING:41,Annotations,SPRING:14,concept,concept,subconcept of,RESTful service
SPRING:42,REST Levels,SPRING:14,concept,concept,subconcept of,RESTful service
SPRING:43,modes,SPRING:17,concept,concept,subconcept of,Autowiring
SPRING:44,Annotation,SPRING:18,concept,concept,subconcept of,Declaration
SPRING:45,XML Configuration,SPRING:18,concept,concept,subconcept of,Declaration
SPRING:46,Lifecycle callbacks,SPRING:19,concept,concept,subconcept of,Customization
SPRING:47,Types,SPRING:21,concept,concept,subconcept of,Dependancy Injection
SPRING:48,Messaging,SPRING:23,concept,concept,subconcept of,Application Context
SPRING:49,Events,SPRING:23,concept,concept,subconcept of,Application Context
SPRING:50,Jade4J,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:51,Thymeleaf,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:52,FreeMarker,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:53,Groovy Markup Template Engine,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:54,Velocity,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:55,Jmustache,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:56,Pebble,SPRING:39,concept,concept,subconcept of,Template Engine
SPRING:57,@Controller,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:58,@SessionAttributes,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:59,@SessionAttribute,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:60,@RestControllerAdvice,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:61,@ControllerAdvice,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:62,@ResponseStatus,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:63,@ResponseBody,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:64,@RequestPart,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:65,@RequestHeader,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:66,@RequestParam,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:67,@RequestAttribute,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:68,@InitBinder,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:69,@ExceptionHandler,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:70,@CrossOrigin,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:71,@CookieValue,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:72,@PathVariable,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:73,@RequestBody,SPRING:41,concept,concept,subconcept of,Annotations
